run,cell,metric,baseMedianMs,candidateMedianMs,medianPairedPercent,ci95LowPercent,ci95HighPercent
clean-1,N1-stagger0,startMs,0.036930000000211294,0.05197200000009161,81.0676729360305,-0.7413644398321484,104.27669822058957
clean-1,N1-stagger0,frameMs,0.08969599999909406,0.0836917500000709,12.114061266710042,-28.778382505036415,60.38352673348204
clean-1,N1-stagger0,totalMs,0.1504167499988398,0.17245525000043926,50.72594870441465,-9.105899356616543,79.70466050619838
clean-1,N1-stagger1,startMs,0.014019250000274042,0.014435499999763124,14.231344943756962,3.4086544510559813,35.58802358595794
clean-1,N1-stagger1,frameMs,0.07534175000000687,0.07881300000008196,1.4688141239590502,-28.557576142792986,11.474388816282133
clean-1,N1-stagger1,totalMs,0.0949342500007333,0.10272100000111095,7.0739625076636115,-23.149092253143955,11.939994641868656
clean-1,N100-stagger0,startMs,0.20660600000019258,0.18182999999953608,-3.7288580425122064,-29.74911434515022,12.07463124820194
clean-1,N100-stagger0,frameMs,3.901979999999412,3.280844500000285,-15.795632806583537,-22.861063377995123,8.617364371307556
clean-1,N100-stagger0,totalMs,4.197529000000031,3.5117327499999647,-15.68358123276749,-21.738886721506482,7.349132911520795
clean-1,N100-stagger1,startMs,0.17661025000052177,0.17638499999998203,2.736409487793179,-9.47261901633556,7.30282681022012
clean-1,N100-stagger1,frameMs,4.8527607499997885,5.109217250000711,5.3820812109061205,-3.6041537778839006,23.234519581024205
clean-1,N100-stagger1,totalMs,5.16069250000055,5.369585749999715,5.20686451528678,-4.209277038520698,23.172650694577925
clean-1,N1000-stagger0,startMs,2.044351249999181,2.025356000000329,12.360013865195373,-15.501218183702415,42.89057535764997
clean-1,N1000-stagger0,frameMs,58.36658874999989,45.119076749999294,-25.063909178526167,-27.573906664018555,-19.398606885013724
clean-1,N1000-stagger0,totalMs,60.62342300000046,47.71011050000061,-24.159934323584803,-26.70405537547674,-20.229349384513807
clean-1,N1000-stagger1,startMs,1.9949795000004542,2.5008512499998687,32.537068389124556,-22.023220143992205,103.7691215281269
clean-1,N1000-stagger1,frameMs,23.80294300000037,21.207812000001468,-7.710022659744525,-13.451295395181894,-2.291793613158599
clean-1,N1000-stagger1,totalMs,26.203031999999894,23.67166574999942,-3.8931035622920493,-15.292487633245067,1.7429840359135085
clean-1,N1000-stagger0.05,startMs,2.4971402500004842,2.1221347500013508,-8.437342830173883,-39.190246546118686,22.536232521206646
clean-1,N1000-stagger0.05,frameMs,104.02686474999985,96.04759499999955,-7.8066384176029295,-14.891456738559917,-3.2115331394874214
clean-1,N1000-stagger0.05,totalMs,107.65867900000103,98.27425949999997,-8.620556359974547,-14.89829622062957,-3.1899747067998696
clean-2,N1-stagger0,startMs,0.05989749999957894,0.05174474999944323,-5.719033719113876,-45.466699077166105,112.3756333819816
clean-2,N1-stagger0,frameMs,0.08052799999995841,0.08132824999984223,2.2900804814863953,-21.81227754009476,25.64194182950764
clean-2,N1-stagger0,totalMs,0.16077700000141704,0.15831075000005512,-9.859162524585285,-26.618314627798924,43.02347238748907
clean-2,N1-stagger1,startMs,0.008245250000072701,0.011629999999968277,30.221866604907856,13.337440355353557,34.697264935870464
clean-2,N1-stagger1,frameMs,0.0637365000002319,0.06072074999974575,10.265717675800289,-6.625755192885618,32.84330246387101
clean-2,N1-stagger1,totalMs,0.07396325000024717,0.07769300000063595,8.751425075989594,-8.683144671126097,26.94150340779251
clean-2,N100-stagger0,startMs,0.1932657500001369,0.20896674999971765,3.376302037643575,-0.5423486961074087,24.404684329206084
clean-2,N100-stagger0,frameMs,3.798759750000272,3.752770000000055,2.5508284064842957,-15.921291951510963,26.227080662583212
clean-2,N100-stagger0,totalMs,4.065370000000712,3.9949420000002647,-3.8273327784346947,-15.437146203623564,24.64646981751595
clean-2,N100-stagger1,startMs,0.19671349999975973,0.21602950000055898,17.028549978763873,5.244390387204034,35.94649494002324
clean-2,N100-stagger1,frameMs,5.091819499999929,5.621185250000053,10.137676894803194,-0.047137397941066084,24.549628437180605
clean-2,N100-stagger1,totalMs,5.473183749999976,6.053569249999782,11.587854870473702,-4.331522425677048,22.990286757370605
clean-2,N1000-stagger0,startMs,2.5108055000000604,2.639103000000432,10.055560960784282,-39.36436991077148,78.19038656979968
clean-2,N1000-stagger0,frameMs,65.08924324999998,56.28884574999972,-14.68151627377186,-21.531566121146916,-1.4999669638447455
clean-2,N1000-stagger0,totalMs,69.08536749999939,59.65245425000012,-15.561951847998962,-23.107376775050692,-4.928261741174911
clean-2,N1000-stagger1,startMs,3.009579499999745,3.3085592500003713,2.4318643078492297,-30.472441996959986,60.036619549081635
clean-2,N1000-stagger1,frameMs,26.270878750000406,27.995439750000514,4.218918640514547,1.7181590522845847,15.169139005492882
clean-2,N1000-stagger1,totalMs,30.08583075000297,32.844884250000405,4.388320001088653,-3.962445669762027,12.241234752697805
clean-2,N1000-stagger0.05,startMs,3.3522729999999683,3.067662499999642,-6.510014631506417,-28.468123918324075,16.73460263433806
clean-2,N1000-stagger0.05,frameMs,117.89672799999994,108.10747674999993,-9.486006095043193,-14.706707127497909,-0.9919594908314067
clean-2,N1000-stagger0.05,totalMs,121.14306249999981,111.85444299999926,-9.988366140336002,-15.647830476899017,-0.6215186832773667
